"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-07","0.00","6.3","26","30",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-08","0.00","5.9","22","25",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-09","0.00","5.9","23",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-10","0.00","5.9","26","28","23"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-11","0.00","5.9","20",,"6"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-12","0.03","6.7","27","29",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-13","0.02","6.3","22",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-14","0.00","6.3","23","27","13"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-15","0.00","6.3","28",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-16","0.00","6.3","29","31",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-17","0.00","5.9","30",,"23"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-18","0.01","5.9","30",,"29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-19","0.23","7.1","31",,"28"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-20","0.30","11.0","28",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-21","0.21","9.8","17","25","11"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-22","0.01","9.8","23",,"11"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-23","0.34","13.4","23",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-24","0.00","13.4","20",,"4"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-25","0.00","13.4","32","34","25"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-26","0.04","11.4","35","36","34"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-27","0.13","9.8","35","36","33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-28","0.02","7.9","35",,"33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-01","0.02","4.7","32","37",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-02","0.00","4.7","28",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-03","0.00","4.3","31",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-04","0.00","4.3","25","32","15"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-05","0.00","4.3","21","29","8"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-06","0.00","4.3","22","32","11"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-07","0.00","4.3","29",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-08","0.00","4.3","30","33","26"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-09","0.00","3.5","30","32",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-10","0.00","3.1","32","36","26"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-11","0.00","2.4","34",,"26"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-12","0.00","2.4","35","38",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-13","0.00","2.4","36","40","26"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-14","0.00","1.6","34","40",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-15","0.00","1.6","32","38","23"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-16","0.00","1.2","32","38","20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-17","0.00","1.2","36",,"33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-18","0.00","1.2","39","43","35"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-19","0.00","0.8","42","45",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-20","0.00",,"40","45","36"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-21","0.00",,"40","47",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-22","0.00",,"42",,"34"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-23","0.04",,"43","49",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-24","0.03",,"43","53",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-25","0.00",,"44",,"39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-26","0.04",,"47","55",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-27","0.46",,"43","49","41"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-28","0.00",,"43",,"40"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-29","0.09",,"42","46",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-30","0.01",,"41",,"31"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-03-31","0.38",,"45",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-01","0.11",,"42","49","37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-02","0.20",,"42","46","37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-03","0.05",,"44",,"35"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-04","0.00",,"42","45","39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-05","0.20",,"42",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-06","0.04",,"46",,"35"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-07","0.02",,"51",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-08","0.00",,"45",,"42"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-09","0.00",,"46","53",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-10","0.00",,"44",,"33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-11","0.00",,"46","55","38"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-12","0.00",,"47","58","36"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-13","0.00",,"47",,"36"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-14","0.00",,"48",,"35"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-15","0.00",,"45",,"33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-16","0.00",,"46","52","42"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-17","0.00",,"47",,"42"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-18","0.01",,"45","51",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-19","0.00",,"40",,"32"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-20","0.00",,"40","47","33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-21","0.00",,"40","48","29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-22","0.00",,"42","51","30"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-23","0.02",,"42","48",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-24","0.00",,"43","51","33"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-25","0.00",,"48","57","34"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-26","0.00",,"49",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-27","0.06",,"48","54","40"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-28","0.00",,"51","59","39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-29","0.00",,"56",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-04-30","0.01",,"51","57",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-01","0.02",,"48",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-02","0.00",,"44",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-03","0.00",,"47","58","31"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-04","0.00",,"44","53","38"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-05","0.02",,"46","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-06","0.00",,"46","54","35"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-07","0.00",,"50",,"44"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-08","0.00",,"46","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-09","0.02",,"48","58","39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-10","0.00",,"45","51",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-11","0.00",,"45","53","37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-12","0.00",,"44",,"39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-13","0.18",,"46","48","42"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-14","0.00",,"48",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-15","0.00",,"49","54","40"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-16","0.85",,"50","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-17","0.00",,"51","57","47"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-18","0.00",,"55","64","46"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-19","0.03",,"59","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-20","0.00",,"58","67","50"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-21","0.00",,"61",,"48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-22","0.00",,"63","74","52"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-23","0.00",,"58","66",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-24",,,"53","59",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-25","0.00",,"51","58","46"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-26","0.00",,"49","56",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-27","0.00",,"49","57",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-28","0.04",,"49","56","41"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-29","0.23",,"53","60","45"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-30","0.01",,"53","57","49"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-05-31","0.56",,"59","68","49"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-01","0.00",,"60","71","44"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-02","0.00",,"59","70","45"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-03","0.00",,"58","63","51"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-04","0.00",,"62","74","46"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-05","0.00",,"57","69","51"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-06","0.00",,"58","63","53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-07","0.13",,"57","60",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-08","0.28",,"57","61",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-09","0.07",,"56","60",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-10","0.02",,"58","59",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-11","0.19",,"58","61",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-12","0.33",,"54","58",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-13","0.00",,"54","59",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-14","0.00",,"55",,"48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-15","0.02",,"56","65","48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-16","0.00",,"56","62",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-17","0.00",,"56","59","53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-18","0.00",,"57","62",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-19","0.01",,"53",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-20","0.15",,"54","62","45"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-21","0.00",,"57","67","41"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-22","0.00",,"56","62","51"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-23","0.00",,"58","65",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-24","0.00",,"61","70","51"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-25","0.00",,"60","67",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-26","0.00",,"59","66","54"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-27","0.00",,"60",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-28","0.00",,"65","78","47"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-29","0.00",,"67","80",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-06-30","0.17",,"61","68",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-01","0.00",,"62","72","53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-02","0.00",,"71","81","58"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-03","0.00",,"72","85","63"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-04","0.33",,"67","72","60"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-05","0.00",,"64",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-06","0.00",,"60","67","55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-07","0.00",,"64","75","53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-08","0.00",,"65","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-09","0.09",,"66",,"58"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-10","0.00",,"72","82","60"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-11","0.00",,"71",,"64"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-12","0.05",,"67","76",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-13","0.43",,"64","68",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-14","0.02",,"67","78",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-15","0.01",,"69","77",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-16","0.04",,"69",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-17","0.20",,"64",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-18","0.11",,"63","70",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-19","0.00",,"66","73",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-20","0.00",,"71","82",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-21","0.00",,"73","82","64"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-22",,,"68","77",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-23","0.00",,"65","74",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-24","0.00",,"63","70",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-25","0.00",,"63","71","54"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-26","0.00",,"65","73",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-27","0.00",,"64","73","56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-28","0.00",,"65","74","55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-29","0.00",,"65","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-30","0.48",,"60","65",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-07-31","0.23",,"63","70","57"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-01","0.02",,"64","72",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-02","0.00",,"63","71","55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-03","0.00",,"62","69","56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-04","0.00",,"62","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-05","0.21",,"65","75","59"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-06","0.00",,"63","73","57"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-07","0.00",,"66","78","52"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-08","0.00",,"65","72","60"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-09","0.00",,"63","66",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-10","0.00",,"66","78",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-11","0.25",,"65","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-12","0.02",,"62","72",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-13","0.30",,"66",,"59"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-14","0.00",,"63","72","55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-15","0.00",,"69",,"55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-16","0.46",,"67","73","64"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-17","0.20",,"66","68",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-18","0.28",,"64","71",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-19","0.04",,"62","69","57"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-20","0.00",,"62",,"56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-21","0.09",,"67","72",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-22","0.02",,"64","70",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-23","0.00",,"61","68","54"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-24","0.66",,"60","64","56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-25","0.33",,"59","63","56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-26","0.00",,"59","64",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-27","0.00",,"57",,"46"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-28","0.00",,"57","64","47"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-29",,,"55","63",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-30","0.01",,"56","64",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-08-31","0.00",,"58",,"48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-01","0.00",,"58","66",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-02","0.00",,"57",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-03","0.00",,"53","64",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-04","0.05",,"53",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-05","0.00",,"53",,"37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-06",,,"56","65",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-07","0.00",,"59","66","48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-08","0.00",,"61","68","56"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-09","0.00",,"61","67",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-10","0.00",,"57","60",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-11","0.01",,"59",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-12","0.09",,"61","66",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-13","0.00",,"58","65","53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-14","0.19",,"59","67",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-15","0.18",,"53","60","49"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-16","0.69",,"55","61","51"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-17","0.08",,"55","61","50"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-18","0.24",,"54","59","49"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-19","0.09",,"53","59",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-20","0.02",,"54","60",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-21","0.17",,"54","60",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-22","0.00",,"55","63",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-23","0.00",,"60",,"52"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-24","0.01",,"59","65",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-25","0.06",,"52","62","44"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-26","0.00",,"53","54","52"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-27","0.00",,"53","58",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-28","0.00",,"48","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-29","0.00",,"47","56","39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-09-30","0.00",,"47","55",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-01","0.00",,"51","56","40"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-02","0.00",,"53","56","48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-03","0.01",,"55",,"53"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-04","0.02",,"56",,"55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-05","0.00",,"55",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-06","0.00",,"58","59","55"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-07","0.53",,"56","64","49"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-08","0.00",,"54","56",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-09","0.00",,"50",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-10","0.00",,"48",,"37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-11","0.00",,"47","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-12","0.00",,"47","56","39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-13","0.00",,"46","54","34"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-14","0.00",,"49",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-15","0.00",,"42",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-16","0.00",,"39",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-17","0.08",,"43","50","31"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-18","0.00",,"47","50","42"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-19","0.53",,"46","53",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-20","0.04",,"40","48",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-21","0.02",,"40","46","34"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-22","0.19",,"44",,"39"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-23","0.06",,"46","50","41"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-24","1.22",,"42","47",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-25","0.07",,"38","47",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-26","0.03",,"40",,"29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-27","0.02",,"48","52","43"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-28","0.20",,"50",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-29","0.24",,"51","56","46"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-30","0.00",,"51",,"48"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-10-31","0.00",,"49","54","45"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-01","0.00",,"46","54",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-02","0.00",,"47",,"37"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-03","0.36",,"49","53",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-04","0.04",,"47","51","44"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-05","0.20",,"47","50",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-06","0.02",,"42","47",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-07","0.00",,"37","45",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-11-08","0.00",,"36","43","27"
